Recipe_ID,Recipe_Name,Yield_Units,Unit_Type,Total_Cost_per_Batch,Cost_per_Unit,Total_Calories_per_Batch,Calories_per_Unit,Target_Price_per_Unit,Suggested_Price_per_Unit,Gross_Margin_%
CHOCO_COOKIE,Chocolate Chip Cookies,24,cookie,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A2,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E2/C2,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A2,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G2/C2,0)",1.5,"=ROUND(F2*3,2)","=IFERROR((I2-F2)/I2,0)"
CINN_ROLL,Cinnamon Rolls,12,roll,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A3,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E3/C3,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A3,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G3/C3,0)",2.5,"=ROUND(F3*3,2)","=IFERROR((I3-F3)/I3,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A4,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E4/C4,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A4,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G4/C4,0)",,"=ROUND(F4*3,2)","=IFERROR((I4-F4)/I4,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A5,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E5/C5,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A5,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G5/C5,0)",,"=ROUND(F5*3,2)","=IFERROR((I5-F5)/I5,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A6,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E6/C6,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A6,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G6/C6,0)",,"=ROUND(F6*3,2)","=IFERROR((I6-F6)/I6,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A7,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E7/C7,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A7,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G7/C7,0)",,"=ROUND(F7*3,2)","=IFERROR((I7-F7)/I7,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A8,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E8/C8,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A8,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G8/C8,0)",,"=ROUND(F8*3,2)","=IFERROR((I8-F8)/I8,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A9,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E9/C9,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A9,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G9/C9,0)",,"=ROUND(F9*3,2)","=IFERROR((I9-F9)/I9,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A10,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E10/C10,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A10,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G10/C10,0)",,"=ROUND(F10*3,2)","=IFERROR((I10-F10)/I10,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A11,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E11/C11,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A11,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G11/C11,0)",,"=ROUND(F11*3,2)","=IFERROR((I11-F11)/I11,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A12,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E12/C12,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A12,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G12/C12,0)",,"=ROUND(F12*3,2)","=IFERROR((I12-F12)/I12,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A13,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E13/C13,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A13,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G13/C13,0)",,"=ROUND(F13*3,2)","=IFERROR((I13-F13)/I13,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A14,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E14/C14,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A14,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G14/C14,0)",,"=ROUND(F14*3,2)","=IFERROR((I14-F14)/I14,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A15,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E15/C15,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A15,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G15/C15,0)",,"=ROUND(F15*3,2)","=IFERROR((I15-F15)/I15,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A16,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E16/C16,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A16,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G16/C16,0)",,"=ROUND(F16*3,2)","=IFERROR((I16-F16)/I16,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A17,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E17/C17,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A17,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G17/C17,0)",,"=ROUND(F17*3,2)","=IFERROR((I17-F17)/I17,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A18,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E18/C18,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A18,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G18/C18,0)",,"=ROUND(F18*3,2)","=IFERROR((I18-F18)/I18,0)"
